         387429 function calls (368993 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      777    0.000    0.000    0.001    0.000 _parser.py:83(groups)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      351    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       22    0.000    0.000    0.006    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.003    0.003 calendar.py:1(<module>)
      726    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       51    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
  120/114    0.000    0.000    0.006    0.000 typing.py:378(inner)
        3    0.000    0.000    0.095    0.032 utils.py:1(<module>)
      285    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      244    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      245    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      328    0.000    0.000    0.009    0.000 {built-in method builtins.next}
      273    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
        1    0.000    0.000    0.000    0.000 calendar.py:94(_localized_month)
      292    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      262    0.000    0.000    0.225    0.001 __init__.py:226(compile)
      198    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
       24    0.000    0.000    0.003    0.000 typing.py:673(Union)
      240    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       69    0.000    0.000    0.002    0.000 css_parser.py:529(parse_tag_pattern)
      571    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
