         483838 function calls (463372 primitive calls) in 1.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.001    0.000    0.006    0.000 typing.py:1529(__getitem__)
        1    0.001    0.001    0.004    0.004 langbulgarianmodel.py:1(<module>)
      191    0.001    0.000    0.001    0.000 style.py:122(__init__)
       36    0.001    0.000    0.001    0.000 inspect.py:175(get_annotations)
      427    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
      136    0.001    0.000    0.005    0.000 css_types.py:203(__init__)
      435    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      425    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      586    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      394    0.001    0.000    0.004    0.000 typing.py:1435(<genexpr>)
     1149    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
  427/284    0.001    0.000    0.032    0.000 typing.py:494(__getitem__)
      286    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      536    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
      308    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
        1    0.000    0.000    0.011    0.011 _make.py:1(<module>)
      865    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       23    0.000    0.000    0.009    0.000 dataclasses.py:568(_init_fn)
     1644    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      189    0.000    0.000    0.003    0.000 css_types.py:360(__init__)
      245    0.000    0.000    0.000    0.000 enum.py:772(__delattr__)
        1    0.000    0.000    0.007    0.007 thread.py:1(<module>)
      951    0.000    0.000    0.001    0.000 _parser.py:83(groups)
      328    0.000    0.000    0.014    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       54    0.000    0.000    0.001    0.000 _make.py:2476(__init__)
    54/22    0.000    0.000    0.760    0.035 {built-in method builtins.__import__}
       68    0.000    0.000    0.000    0.000 typing.py:2454(overload)
      194    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 console.py:593(Console)
       13    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      156    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1564(__init__)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
      454    0.000    0.000    0.001    0.000 _compiler.py:570(isstring)
      443    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 style.py:60(__new__)
      514    0.000    0.000    0.001    0.000 enum.py:59(_is_sunder)
      836    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       35    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
        1    0.000    0.000    0.816    0.816 _client.py:1(<module>)
      919    0.000    0.000    0.001    0.000 typing.py:918(__eq__)
        1    0.000    0.000    0.024    0.024 syntax.py:1(<module>)
       69    0.000    0.000    0.002    0.000 css_parser.py:529(parse_tag_pattern)
       77    0.000    0.000    0.002    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.017    0.008 _streams.py:1(<module>)
        3    0.000    0.000    0.002    0.001 _exceptions.py:1(<module>)
      293    0.000    0.000    0.227    0.001 __init__.py:226(compile)
      122    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      109    0.000    0.000    0.001    0.000 _parser.py:274(getuntil)
      435    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      227    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       15    0.000    0.000    0.005    0.000 _make.py:479(_transform_attrs)
    42/30    0.000    0.000    0.043    0.001 css_parser.py:566(parse_pseudo_class)
      127    0.000    0.000    0.001    0.000 dataclasses.py:864(_set_new_attribute)
        1    0.000    0.000    0.246    0.246 console.py:1(<module>)
       95    0.000    0.000    0.001    0.000 enum.py:1531(__or__)
        1    0.000    0.000    0.010    0.010 _impl.py:1(<module>)
       19    0.000    0.000    0.002    0.000 enum.py:500(__prepare__)
       38    0.000    0.000    0.000    0.000 enum.py:995(_find_data_type_)
       30    0.000    0.000    0.001    0.000 <frozen abc>:146(update_abstractmethods)
       42    0.000    0.000    0.000    0.000 typing.py:1396(__mro_entries__)
        2    0.000    0.000    0.009    0.005 subprocess.py:1(<module>)
       29    0.000    0.000    0.007    0.000 dataclasses.py:627(_repr_fn)
       25    0.000    0.000    0.001    0.000 _make.py:2534(from_counting_attr)
     13/7    0.000    0.000    0.001    0.000 inspect.py:2463(_signature_from_callable)
     1141    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      254    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      134    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
        1    0.000    0.000    0.001    0.001 core.py:1160(Command)
      427    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       15    0.000    0.000    0.005    0.000 _make.py:640(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
      142    0.000    0.000    0.000    0.000 style.py:146(_make_color)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       51    0.000    0.000    0.003    0.000 typing.py:1514(__getitem_inner__)
        1    0.000    0.000    0.040    0.040 text.py:1(<module>)
       16    0.000    0.000    0.006    0.000 typing.py:2739(_make_nmtuple)
        4    0.000    0.000    0.030    0.008 _compat.py:1(<module>)
       99    0.000    0.000    0.004    0.000 typing.py:1500(__getitem__)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        1    0.000    0.000    0.165    0.165 css_parser.py:1(<module>)
      227    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       31    0.000    0.000    0.150    0.005 <frozen importlib._bootstrap_external>:1287(create_module)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:373(_freeze_relations)
      919    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       29    0.000    0.000    0.001    0.000 dataclasses.py:250(_recursive_repr)
        1    0.000    0.000    0.067    0.067 _lxml.py:1(<module>)
